ImageFlag,ID,x3D (m),y3D (m),z3D (m)
,4,0.0053,0.0565,3.8937
,4,-0.0434,-0.4784,3.8941
,4,-0.0505,-0.8673,3.9441
,4,-0.0522,-0.9429,3.9148
,4,0.1536,0.0563,3.8783
,4,0.1895,-0.4935,3.9509
,4,0.1681,-0.8672,3.9542
,4,0.1695,-0.9351,3.9101
037-14,1,-0.0551,-0.1527,3.2287
,1,-0.0596,-0.0925,3.2857
,1,-0.0709,0.2648,3.2957
,1,-0.0799,0.431,3.2612
,1,-0.2355,0.1467,3.2651
,1,-0.2873,-0.1223,3.2657
,1,-0.3208,-0.3501,3.2117
,1,-0.3153,-0.4299,3.2032
,1,0.1078,0.1631,3.2814
,1,0.17,-0.1141,3.2741
,1,0.1831,-0.3432,3.2158
,1,0.18,-0.4293,3.1923
,1,-0.1293,-0.2313,3.211
,1,-0.1497,-0.7493,3.264
,1,-0.1412,-1.0939,3.2428
,1,-0.1452,-1.1639,3.1901
,1,0.025,-0.2263,3.2167
,1,0.0453,-0.7457,3.277
,1,0.0714,-1.0775,3.3024
,1,0.1084,-1.1367,3.2382
039-14,1,-0.0165,0.238,3.7758
,1,-0.0111,0.3146,3.7732
,1,0.0122,0.6958,3.7417
,1,0.0076,0.8824,3.7061
,1,-0.1383,0.608,3.8058
,1,-0.2154,0.3239,3.835
,1,-0.227,0.1005,3.7359
,1,-0.2465,0.0332,3.7079
,1,0.1472,0.5857,3.7366
,1,0.2195,0.3834,3.7636
,1,0.2275,0.0941,3.7203
,1,0.208,0.0211,3.7196
,1,-0.0887,0.1735,3.7937
,1,-0.1465,-0.3587,3.8043
,1,-0.1487,-0.7199,3.8689
,1,-0.1723,-0.7819,3.8119
,1,0.0494,0.1645,3.7637
,1,0.0613,-0.3548,3.8418
,1,0.0406,-0.7118,3.867
,1,0.0714,-0.7879,3.8167
040-14,1,0.025,0.2177,3.4003
,1,0.0272,0.2899,3.4076
,1,0.0349,0.652,3.3972
